word,definition
تَمَضَّى,"[م ض ي]. (فعل: خماسي لازم). تَمَضَّيْتُ، أَتَمَضَّى، مصدر تَمَضٍّ. ; 1.""تَمَضَّى الأمْرُ"" : نَفَذَ. ; 2.""تَمَضَّى الرَّجُلُ"" : تَقَدَّمَ. ; 3.""تَمَضَّى أَكْلُ كَذا"" : جازَ."
نَبَّأَ,"[ن ب أ]. (فعل: رباعي متعد بحرف). نَبَّأْتُ، أُنَبِّئُ، نَبِّئْ، مصدر تَنْبِئَةٌ، تَنْبِيءٌ. ""نَبَّأَهُ خَبَراً"" : أَخْبَرَهُ، خَبَّرَهُ. ""جَاءَ يُنَبِّئُهُ بِالْخَبَرِ اليَقِينِ"" التحريم آية 3 فَلَمَّا نَبَّأَهَا بِهِ قَالَتْ مَنْ أَنْبَأَكَ هَذَا (قرآن)."
أَنْذَرَ,"[ن ذ ر]. (فعل: رباعي متعد بحرف). أَنْذَرْتُ، أُنْذِرُ، أَنْذِرْ، مصدر إِنْذارٌ. ; 1.""أَنْذَرَهُ الأمْرَ أَوْ بِهِ"" : أَعْلَمَهُ، أَخْبَرَهُ، خَوَّفَهُ بالعواقِبِ قَبْلَ وُقوعِها. ""أَنْذَرَهُ بِما قَدْ يَحْدُثُ لَهُ إِذا هُوَ لَمْ يَأْخُذْ حَذَرَهُ"" ""أَنْذَرَ رِجالَ الأمْنِ بِوُقوعِ حادِثَةِ سَيْرٍ"". ; 2.""أَنْذَرَهُمْ بِعِقابٍ شَدِيدٍ"" : خَوَّفَهُمْ. ""مَنْ أَنْذَرَ فَقَدْ أَعْذَرَ"". ; 3.""رِياحٌ تُنْذِرُ بالعاصِفَةِ"" : تُنْبِىءُ."
تَهاجٍ، التَّهَاجِي,"[هـ ج و]. (مصدر تَهَاجَى). ""تَهَاجِي الشَّاعِرَيْنِ"" : هَجْوُ أحَدِهِمَا الآخَرَ."
هَرَّقَ,"[هـ ر ق]. (فعل: رباعي متعد). هَرَّقْتُ، أُهَرِّقُ، هَرِّقْ، مصدر تَهْرِيقٌ. ; 1.""هَرَّقَ الْمَاءَ"" : صَبَّهُ بِكَثْرَةٍ. ; 2.""هَرِّقْ عَلَى جَمْرِكَ"" : أَيْ تَثَبَّتْ."
هَنْدَسَ,"[هـ ن د س]. (فعل: رباعي متعد). هَنْدَسْتُ، أُهَنْدِسُ، هَنْدِسْ، مصدر هَنْدَسَةٌ. ""هَنْدَسَ العِمَارَةَ"" : قَدَّرَ مَعَالِمَهَا وَأَشْكَالَهَا لِوَضْعِ خُطَّةِ بِنَاءٍ لَهَا."
تَهْوِينٌ,"[هـ و ن]. (مصدر هَوَّنَ). ""تَهْوينُ الأمْرِ"" : تَخْفِيفُهُ، تَسْهيلُهُ."
اِسْتَهْوَى,"[هـ وي]. (فعل: سداسي متعد). اِسْتَهْوَى، يَسْتَهْوِي، مصدر اِسْتِهْواءٌ. ; 1.""اِسْتَهْوَتْهُ مَناظِرُ الطَّبيعَةِ"": أَعْجَبَتْهُ، أَخَذَتْ بِإِعْجابِهِ. ""اِسْتَهْوَاهُ جَمالُها"". ; 2.""اِسْتَهْوَى الخَطِيبُ قُلوبَ السَّامِعِينَ"" : جَذَبَهُمْ إِلَيْهِ، شَغَلَهُمْ، حَيَّرَهُم، أَثَّرَ فِيهِمْ. ""لَمْ يَسْتَهْوِ أَحَداً بِأحادِيثِهِ"" ; الأنعام آية 71كَالَّذِي اسْتَهْوَتْهُ الشَّياطِينُ (قرآن)."
هَاضَ,"[هـ ي ض]. (فعل: ثلاثي متعد). هِضْتُ، أَهِيضُ، هِضْ، مصدر هَيْضٌ. ""هَاضَ الْعَظْمَ"" :كَسَّرَهُ بَعْدَمَا قَارَبَ أَنْ يَنْجَبِرَ. ; لاَ يَجْبُرُ النَّاسُ عَظْماً أَنْتَ كَاسِرُه ... ... وَلاَ يَهِيضُونَ عَظْماً أَنْتَ جَابِرُهُ ; (المتنبي)."
تَوَرَّدَ,"[و ر د]. (فعل: خماسي لازم متعد). تَوَرَّدْتُ، أتَوَرَّدُ، تَوَرَّدْ، مصدر تَوَرُّدٌ. ; 1. ""تَوَرَّدَ خَدُّهُ"" : اِحْمَرَّ، أيْ صَارَ بِلَوْنِ الوَرْدِ. ""تَوَرَّدَ وَجْهُهُ حَيَاءً وَارْتِبَاكاً"" ""فَلْتَغْضَبِ الطَّبِيعَةُ وَلْتَتَورَّدِ الوَجَنَاتُ"". (م. ص. الرافعي). ; 2. ""تَوَرَّدَتِ الإبِلُ الْمَاءَ"" : بَلَغَتْهُ. ; 3. ""تَوَرَّدَ الرَّجُلُ"" : طَلَبَ الوِرْدَ. ; 4. ""تَوَرَّدَتِ الْمَرْأةُ"" : طَلَبَتِ الوِرْدَ. ; 5. ""تَوَرَّدَ الْمُحَاضِرُ"" : تَقَدَّمَ. ; 6.""تَوَرَّدَ الطَّعَامَ"" : أحْضَرَهُ. ; 7. ""تَوَرَّدَتْ فيَالِقُ الجَيْشِ البِلادَ"" : دَخَلَتْهَا قَلِيلاً قَلِيلاً، قِطْعَةً قِطْعَةً."
وَرَاقٌ,"[و ر ق]. ; 1.""وَرَاقُ الأَرْضِ"": خُضْرَتُهَا مِنَ الرَّبِيعِ وَالْحَشِيشِ وَلَيْسَ مِنَ الوَرَقِ. ; 2.""مَا أَحْسَنَ وَرَاقَهُ"" : لِبْسَتَهُ."
تَوَسَّطَ,"[و س ط]. ف : خماسي لازم متعد بحرف). تَوَسَّطْتُ، أتوَسَّطُ، تَوَسَّطْ، مصدر تَوَسُّطٌ. ; 1. ""تَوَسَّطَ بَيْنَ الْمَدْعُوِّينَ"" : جَلَسَ وَسَطَهُمْ. ""تَوَسَّطَ الجَمَاعَةَ"". ; 2. ""حَاوَلَ أنْ يَتَوسَّطَ بَيْنَ الخَصْمَيْنِ"" : قَامَ وَسِيطاً لِيُصْلِحَ ذَاتَ البَيْنِ. ; 3.""تَوَسَّطَ الرَّجُلُ"" : وَقَفَ مَوْقِفَ الوَسَطِ بَيْنَ الجَيِّدِ والرَّدِيءِ. ; 4. ""تَوَسَّطَ فِي آرَائِهِ"" : وَقَفَ مَا بَيْنَ الْمُتَشَدِّدِ وَالْمُتَهَاوِنِ."
وَعُرَ,"[و ع ر]. (فعل: ثلاثي لازم). وَعُرَ، يَوْعُرُ، مصدر وُعُورَةٌ. ; 1.""وَعُرَ الْجَبَلُ"" : صَلُبَ، صَعُبَ. ; 2.""وَعُرَ الطَّعَامُ"" : قَلَّ."
اِتَّقَى,"[و ق ي]. (فعل: خماسي لازم متعد بحرف). اِتَّقَيْتُ، أتَّقِي، اِتَّقِ، مصدر اِتِّقَاءٌ . ; 1.""كَانَ يَتَّقِي شَرَّهُ"" : يَتَجَنَّبُ شَرَّهُ، يَحْذَرُهُ. ""اِتَّقِ شَرَّ مَنْ أَحْسَنْتَ إِلَيْهِ"". ; 2.""اتَّقَى اللهَ"" : خَافَ عقابَهُ . ""هَذَا الرَّجُلُ يَتَّقِي الَّلهَ فِي كُلِّ أعْمَالِهِ"". ; 3.""اِتَّقَى بِهِ"" : جَعَلَهُ قُدَّامَهُ وِقَايَةً لَهُ مِن العَدُوِّ، واسْتَقْبَلَ العَدُوَّ بِهِ."
